actor_nome,film_vector_id
Sam Worthington,19995
Zoe Saldana,19995
Sigourney Weaver,19995
Stephen Lang,19995
Michelle Rodriguez,19995
Johnny Depp,285
Orlando Bloom,285
Keira Knightley,285
Stellan Skarsgård,285
Chow Yun-fat,285
Daniel Craig,206647
Christoph Waltz,206647
Léa Seydoux,206647
Ralph Fiennes,206647
Monica Bellucci,206647
Christian Bale,49026
Michael Caine,49026
Gary Oldman,49026
Anne Hathaway,49026
Tom Hardy,49026
Taylor Kitsch,49529
Lynn Collins,49529
Samantha Morton,49529
Willem Dafoe,49529
Thomas Haden Church,49529
Tobey Maguire,559
Kirsten Dunst,559
James Franco,559
Thomas Haden Church,559
Topher Grace,559
Zachary Levi,38757
Mandy Moore,38757
Donna Murphy,38757
Ron Perlman,38757
M.C. Gainey,38757
Robert Downey Jr.,99861
Chris Hemsworth,99861
Mark Ruffalo,99861
Chris Evans,99861
Scarlett Johansson,99861
Daniel Radcliffe,767
Rupert Grint,767
Emma Watson,767
Tom Felton,767
Michael Gambon,767
Ben Affleck,209112
Henry Cavill,209112
Gal Gadot,209112
Amy Adams,209112
Jesse Eisenberg,209112
Brandon Routh,1452
Kevin Spacey,1452
Kate Bosworth,1452
James Marsden,1452
Parker Posey,1452
Daniel Craig,10764
Olga Kurylenko,10764
Mathieu Amalric,10764
Judi Dench,10764
Giancarlo Giannini,10764
Johnny Depp,58
Orlando Bloom,58
Keira Knightley,58
Stellan Skarsgård,58
Bill Nighy,58
Johnny Depp,57201
Armie Hammer,57201
William Fichtner,57201
Helena Bonham Carter,57201
James Badge Dale,57201
Henry Cavill,49521
Amy Adams,49521
Michael Shannon,49521
Kevin Costner,49521
Diane Lane,49521
Ben Barnes,2454
William Moseley,2454
Anna Popplewell,2454
Skandar Keynes,2454
Georgie Henley,2454
Robert Downey Jr.,24428
Chris Hemsworth,24428
Mark Ruffalo,24428
Chris Evans,24428
Scarlett Johansson,24428
Johnny Depp,1865
Penélope Cruz,1865
Ian McShane,1865
Kevin McNally,1865
Geoffrey Rush,1865
Will Smith,41154
Tommy Lee Jones,41154
Josh Brolin,41154
Michael Stuhlbarg,41154
Emma Thompson,41154
Martin Freeman,122917
Ian McKellen,122917
Richard Armitage,122917
Ken Stott,122917
Graham McTavish,122917
Andrew Garfield,1930
Emma Stone,1930
Rhys Ifans,1930
Denis Leary,1930
Campbell Scott,1930
Russell Crowe,20662
Cate Blanchett,20662
Max von Sydow,20662
William Hurt,20662
Mark Strong,20662
Martin Freeman,57158
Ian McKellen,57158
Richard Armitage,57158
Ken Stott,57158
Graham McTavish,57158
Daniel Craig,2268
Dakota Blue Richards,2268
Nicole Kidman,2268
Sam Elliott,2268
Eva Green,2268
Naomi Watts,254
Jack Black,254
Adrien Brody,254
Thomas Kretschmann,254
Colin Hanks,254
Kate Winslet,597
Leonardo DiCaprio,597
Frances Fisher,597
Billy Zane,597
Kathy Bates,597
Robert Downey Jr.,271110
Chris Evans,271110
Scarlett Johansson,271110
Sebastian Stan,271110
Anthony Mackie,271110
Taylor Kitsch,44833
Alexander Skarsgård,44833
Rihanna,44833
Brooklyn Decker,44833
Tadanobu Asano,44833
Chris Pratt,135397
Bryce Dallas Howard,135397
Irrfan Khan,135397
Vincent D'Onofrio,135397
Nick Robinson,135397
Daniel Craig,37724
Judi Dench,37724
Javier Bardem,37724
Ralph Fiennes,37724
Naomie Harris,37724
Tobey Maguire,558
Kirsten Dunst,558
James Franco,558
Alfred Molina,558
Rosemary Harris,558
Robert Downey Jr.,68721
Gwyneth Paltrow,68721
Don Cheadle,68721
Guy Pearce,68721
Rebecca Hall,68721
Johnny Depp,12155
Mia Wasikowska,12155
Anne Hathaway,12155
Helena Bonham Carter,12155
Crispin Glover,12155
Ian McKellen,36668
Hugh Jackman,36668
Halle Berry,36668
Patrick Stewart,36668
Famke Janssen,36668
Billy Crystal,62211
John Goodman,62211
Steve Buscemi,62211
Helen Mirren,62211
Noah Johnston,62211
Shia LaBeouf,8373
Megan Fox,8373
Josh Duhamel,8373
Rainn Wilson,8373
Tyrese Gibson,8373
Mark Wahlberg,91314
Stanley Tucci,91314
Kelsey Grammer,91314
Nicola Peltz,91314
Jack Reynor,91314
James Franco,68728
Mila Kunis,68728
Rachel Weisz,68728
Michelle Williams,68728
Zach Braff,68728
Andrew Garfield,102382
Emma Stone,102382
Jamie Foxx,102382
