director_nome,film_vector_id
James Cameron,19995
James Cameron,597
James Cameron,280
James Cameron,36955
James Cameron,2756
James Cameron,679
James Cameron,218
Gore Verbinski,285
Gore Verbinski,58
Gore Verbinski,57201
Gore Verbinski,44896
Gore Verbinski,22
Gore Verbinski,6073
Gore Verbinski,6963
Sam Mendes,206647
Sam Mendes,37724
Sam Mendes,4147
Sam Mendes,25
Sam Mendes,4148
Sam Mendes,19255
Sam Mendes,14
Christopher Nolan,49026
Christopher Nolan,155
Christopher Nolan,157336
Christopher Nolan,27205
Christopher Nolan,272
Christopher Nolan,320
Christopher Nolan,1124
Christopher Nolan,77
Andrew Stanton,49529
Andrew Stanton,10681
Andrew Stanton,12
Andrew Stanton,9487
Sam Raimi,559
Sam Raimi,558
Sam Raimi,68728
Sam Raimi,557
Sam Raimi,10390
Sam Raimi,12106
Sam Raimi,16871
Sam Raimi,10223
Sam Raimi,766
Sam Raimi,765
Sam Raimi,764
Byron Howard,38757
Joss Whedon,99861
Joss Whedon,24428
Joss Whedon,16320
David Yates,767
David Yates,258489
David Yates,675
Zack Snyder,209112
Zack Snyder,49521
Zack Snyder,13183
Zack Snyder,41216
Zack Snyder,23629
Zack Snyder,1271
Zack Snyder,924
Bryan Singer,1452
Bryan Singer,127585
Bryan Singer,81005
Bryan Singer,246655
Bryan Singer,36658
Bryan Singer,2253
Bryan Singer,36657
Bryan Singer,629
Marc Forster,10764
Marc Forster,72190
Marc Forster,1262
Marc Forster,45610
Marc Forster,866
Marc Forster,7979
Marc Forster,1365
Marc Forster,81220
Andrew Adamson,2454
Andrew Adamson,411
Andrew Adamson,809
Andrew Adamson,808
Andrew Adamson,94352
Rob Marshall,1865
Rob Marshall,1904
Rob Marshall,10197
Rob Marshall,224141
Rob Marshall,1574
Barry Sonnenfeld,41154
Barry Sonnenfeld,8487
Barry Sonnenfeld,608
Barry Sonnenfeld,607
Barry Sonnenfeld,2185
Barry Sonnenfeld,8012
Barry Sonnenfeld,2907
Peter Jackson,122917
Peter Jackson,57158
Peter Jackson,254
Peter Jackson,49051
Peter Jackson,120
Peter Jackson,7980
Peter Jackson,122
Peter Jackson,121
Peter Jackson,1024
Marc Webb,1930
Marc Webb,102382
Marc Webb,19913
Ridley Scott,20662
Ridley Scott,147441
Ridley Scott,70981
Ridley Scott,1495
Ridley Scott,286217
Ridley Scott,98
Ridley Scott,4982
Ridley Scott,855
Ridley Scott,12113
Ridley Scott,4421
Ridley Scott,10534
Ridley Scott,9726
Ridley Scott,4105
Ridley Scott,78
Ridley Scott,109091
Ridley Scott,348
Chris Weitz,2268
Chris Weitz,18239
Chris Weitz,16300
Chris Weitz,245
Chris Weitz,2105
Chris Weitz,55720
Anthony Russo,271110
Anthony Russo,100402
Anthony Russo,1819
Anthony Russo,9260
Peter Berg,44833
Peter Berg,8960
Peter Berg,10159
Peter Berg,4349
Peter Berg,193756
Peter Berg,10029
Colin Trevorrow,135397
Colin Trevorrow,84332
Shane Black,68721
Shane Black,5236
Tim Burton,12155
Tim Burton,118
Tim Burton,62213
Tim Burton,869
Tim Burton,364
Tim Burton,75
Tim Burton,587
Tim Burton,62214
Tim Burton,268
Tim Burton,3933
Tim Burton,162
Tim Burton,522
Tim Burton,4011
Tim Burton,87093
Brett Ratner,36668
Brett Ratner,5174
Brett Ratner,184315
Brett Ratner,5175
Brett Ratner,59108
Brett Ratner,9533
Brett Ratner,5994
Brett Ratner,10589
Brett Ratner,9416
Dan Scanlon,62211
Michael Bay,8373
Michael Bay,91314
Michael Bay,38356
Michael Bay,676
Michael Bay,1858
Michael Bay,95
Michael Bay,8961
Michael Bay,1635
Michael Bay,9802
Michael Bay,300671
Michael Bay,134374
Michael Bay,9737
Joseph Kosinski,20526
Joseph Kosinski,75612
John Lasseter,49013
John Lasseter,863
John Lasseter,920
John Lasseter,862
Martin Campbell,44912
Martin Campbell,36557
Martin Campbell,1656
Martin Campbell,11678
Martin Campbell,9342
Martin Campbell,710
Martin Campbell,12201
Martin Campbell,9839
Lee Unkrich,10193
McG,534
McG,9471
McG,4327
McG,59962
McG,11170
McG,192102
James Wan,168259
James Wan,259693
James Wan,138843
James Wan,11835
James Wan,91586
James Wan,49018
James Wan,176
J.J. Abrams,54138
J.J. Abrams,956
J.J. Abrams,13475
J.J. Abrams,37686
Baz Luhrmann,64682
Baz Luhrmann,6972
Baz Luhrmann,824
Baz Luhrmann,454
Mike Newell,9543
Mike Newell,674
Mike Newell,11820
Mike Newell,6639
Mike Newell,9366
Mike Newell,12596
Mike Newell,712
Guillermo del Toro,68726
Guillermo del Toro,11253
Guillermo del Toro,1487
Guillermo del Toro,36586
Guillermo del Toro,1417
Steven Spielberg,217
Steven Spielberg,267935
Steven Spielberg,74
Steven Spielberg,17578
Steven Spielberg,180
Steven Spielberg,644
Steven Spielberg,330
Steven Spielberg,594
Steven Spielberg,612
Steven Spielberg,879
Steven Spielberg,57212
Steven Spielberg,857
Steven Spielberg,72976
Steven Spielberg,329
Steven Spielberg,640
Steven Spielberg,89
Steven Spielberg,296098
